               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10908,             0.20906,             0.02871,           0.0069444,             0.16447,           0.0032714,          0.00039808,             0.09796,              0.1857,            0.027189,               1e-05,               1e-05,             0.09991
                   1,             0.10554,             0.21568,            0.027963,              0.0075,             0.17763,           0.0042406,          0.00052014,            0.096732,             0.18796,            0.027192,               3e-05,               3e-05,             0.09973
                   2,             0.10272,             0.23523,            0.027663,           0.0094444,             0.22368,           0.0062725,          0.00073146,            0.093787,             0.19265,            0.027227,               5e-05,               5e-05,             0.09955
                   3,             0.10157,             0.25432,            0.028316,            0.010833,             0.25658,           0.0087248,           0.0010715,            0.091948,             0.19478,            0.027264,               7e-05,               7e-05,             0.09937
                   4,            0.095752,             0.22386,            0.027396,            0.011944,             0.28289,            0.010361,           0.0014374,            0.091183,             0.19624,            0.027316,          8.9999e-05,          8.9999e-05,             0.09919
                   5,            0.094001,             0.23872,            0.027132,              0.0125,             0.29605,            0.010716,           0.0016335,            0.090501,              0.1993,             0.02737,             0.00011,             0.00011,             0.09901
                   6,            0.091758,             0.22083,            0.026898,            0.012778,             0.30263,            0.011431,            0.001625,            0.089751,             0.20338,            0.027429,             0.00013,             0.00013,             0.09883
                   7,            0.086101,             0.27377,            0.026497,            0.013056,             0.30921,            0.010344,           0.0016694,              0.0898,             0.20519,            0.027507,             0.00015,             0.00015,             0.09865
                   8,            0.088776,             0.25271,            0.026679,            0.013056,             0.30921,            0.011064,           0.0015194,            0.090619,             0.20393,            0.027582,          0.00016999,          0.00016999,             0.09847
                   9,            0.090458,              0.2648,            0.026442,            0.013333,             0.31579,            0.010613,           0.0016343,            0.091319,             0.20244,            0.027657,          0.00018999,          0.00018999,             0.09829
                  10,            0.086428,             0.27734,            0.025853,              0.0125,             0.29605,           0.0091368,           0.0013456,            0.092214,             0.20086,            0.027739,          0.00020999,          0.00020999,             0.09811
                  11,            0.087847,             0.25706,            0.025918,              0.0125,             0.29605,             0.01018,           0.0014734,            0.092245,             0.20078,            0.027825,          0.00022999,          0.00022999,             0.09793
                  12,            0.084037,              0.2592,             0.02531,            0.012222,             0.28947,           0.0098052,           0.0013551,            0.092381,             0.20048,            0.027922,          0.00024998,          0.00024998,             0.09775
                  13,            0.087078,             0.26012,            0.025921,            0.012222,             0.28947,           0.0093131,           0.0013623,            0.092238,             0.20057,            0.028006,          0.00026998,          0.00026998,             0.09757
                  14,            0.085808,             0.25352,            0.025271,            0.011944,             0.28289,           0.0093776,           0.0012939,            0.092186,             0.20046,             0.02809,          0.00028997,          0.00028997,             0.09739
                  15,            0.088268,             0.26667,            0.025142,              0.0125,             0.29605,           0.0098583,           0.0013336,            0.091672,             0.20115,            0.028171,          0.00030997,          0.00030997,             0.09721
                  16,            0.088668,             0.27108,            0.025184,              0.0125,             0.29605,           0.0087918,           0.0013325,            0.091434,              0.2014,            0.028251,          0.00032996,          0.00032996,             0.09703
                  17,            0.086639,             0.25973,            0.024932,            0.013056,             0.30921,            0.011548,           0.0016205,             0.09147,             0.20121,            0.028336,          0.00034995,          0.00034995,             0.09685
                  18,            0.081021,             0.23374,              0.0246,            0.012778,             0.30263,           0.0098124,           0.0014968,            0.091412,             0.20114,            0.028428,          0.00036994,          0.00036994,             0.09667
                  19,            0.082202,             0.26979,            0.024509,            0.012778,             0.30263,           0.0098801,           0.0015011,            0.091532,             0.20113,            0.028516,          0.00038993,          0.00038993,             0.09649
                  20,             0.08348,             0.24063,            0.024203,            0.013333,             0.31579,            0.011194,            0.001651,            0.091561,             0.20106,            0.028613,          0.00040992,          0.00040992,             0.09631
                  21,            0.080981,             0.26331,            0.023983,            0.013333,             0.31579,            0.010601,           0.0014446,            0.091594,             0.20103,            0.028719,          0.00042991,          0.00042991,             0.09613
                  22,            0.083186,             0.25394,            0.024755,            0.013333,             0.31579,            0.010556,           0.0016013,            0.091629,             0.20109,              0.0288,          0.00044989,          0.00044989,             0.09595
                  23,            0.084074,             0.26665,            0.024262,            0.013333,             0.31579,            0.010472,            0.001496,            0.091774,             0.20104,            0.028894,          0.00046988,          0.00046988,             0.09577
                  24,            0.085442,             0.28167,            0.024179,            0.011944,             0.28289,            0.011647,           0.0016571,            0.091804,             0.20135,            0.028973,          0.00048986,          0.00048986,             0.09559
                  25,             0.08177,             0.26729,            0.023774,            0.014782,            0.072368,           0.0095924,           0.0013841,             0.09196,             0.20139,            0.029061,          0.00050984,          0.00050984,             0.09541
                  26,            0.083338,             0.24425,            0.023991,              0.0125,             0.29605,           0.0095272,           0.0013604,            0.091722,             0.20165,            0.029141,          0.00052982,          0.00052982,             0.09523
                  27,            0.080392,             0.28773,             0.02345,            0.012222,             0.28947,           0.0092941,            0.001338,            0.091705,             0.20181,            0.029234,           0.0005498,           0.0005498,             0.09505
                  28,            0.082667,             0.27874,            0.023458,            0.011944,             0.28289,           0.0092316,           0.0012069,            0.091905,              0.2015,            0.029324,          0.00056978,          0.00056978,             0.09487
                  29,            0.081749,             0.27399,            0.023219,            0.011389,             0.26974,           0.0079568,           0.0010129,            0.091963,             0.20169,             0.02942,          0.00058976,          0.00058976,             0.09469
                  30,             0.08252,              0.2575,            0.023854,            0.010833,             0.25658,           0.0077335,          0.00095268,            0.091998,             0.20166,            0.029506,          0.00060973,          0.00060973,             0.09451
                  31,             0.08477,             0.24197,            0.023429,            0.011389,             0.26974,           0.0079313,            0.001055,             0.09171,             0.20196,            0.029591,           0.0006297,           0.0006297,             0.09433
